Unique user count;Component set;Product;Version
43;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
42;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
42;Component1+Component11+Component21+Component29+Component30+Component31;2049294527;11.3.0.773
42;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component26+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
41;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component18+Component19+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
40;Component1+Component5+Component9+Component11+Component13+Component14+Component21+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
40;Component1+Component5+Component11+Component15+Component19+Component21+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
40;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
40;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
39;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
39;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
38;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
36;Component1+Component11+Component21+Component28+Component29+Component30+Component31;2049294527;11.3.0.773
35;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
34;Component1+Component9+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
34;Component1+Component9+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
33;Component1+Component5+Component11+Component15+Component19+Component21+Component29+Component30+Component31;2049294527;21.2.16.590
33;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
33;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component22+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
31;Component1+Component5+Component9+Component11+Component14+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
31;Component1+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31;-1753079652;21.2.16.590
31;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
31;Component9+Component30+Component31;-1753079652;11.3.0.773
